basisOfRecord,catalogNumber,catalogue_id,changed,collectionCode,collector,collectorNumber,coordinateUncertaintyText,coordinateuncertaintyinmeters,country,county,eventDate,geocat_kind,group_name,identifiedBy,institutionCode,latitude,locality,longitude,occurrenceDetails,occurrenceRemarks,origin,presence,scientificname,seasonal,stateProvince,verbatimElevation
1,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.404546,,71.737528,9453,New record,,,,,,
1,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.658765,,71.779502,,,,,,,,
1,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.854968,,71.94163,,,,,,,,
1,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.807141,,71.950463,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.817358,,71.956281,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.782975,,71.960624,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.764575,,72.128843,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.576908,,72.095486,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.468471,,72.040807,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.397404,,72.239643,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.446403,,71.731914,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.737509,,71.859273,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.716597,,71.964997,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.715336,,72.062875,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.789369,,71.809679,,,,,,,,
2,Cousinia knorringiae Bornm.,,,,,,,,,,,,,,,41.767895,,71.96658,,,,,,,,
